api,consulta_tipo,tempo_ms,tamanho_bytes
REST,simples,124.97,2070
REST,simples,118.62,2193
REST,simples,126.48,2099
REST,simples,135.23,2047
REST,simples,117.66,2141
REST,simples,117.66,2039
REST,simples,135.79,2110
REST,simples,127.67,2002
REST,simples,115.31,2034
REST,simples,125.43,2110
REST,simples,115.37,2137
REST,simples,115.34,2109
REST,simples,122.42,2094
REST,simples,100.87,2085
REST,simples,102.75,2026
REST,simples,114.38,2064
REST,simples,109.87,2077
REST,simples,123.14,2153
REST,simples,110.92,2117
REST,simples,105.88,2012
REST,simples,134.66,2116
REST,simples,117.74,2081
REST,simples,120.68,2066
REST,simples,105.75,2131
REST,simples,114.56,2152
REST,simples,121.11,2147
REST,simples,108.49,2058
REST,simples,123.76,2085
REST,simples,113.99,2117
REST,simples,117.08,2149
REST,complexa,192.81,4110
REST,complexa,197.22,4197
REST,complexa,183.4,4030
REST,complexa,182.06,4067
REST,complexa,212.19,4061
REST,complexa,220.34,3954
REST,complexa,198.92,4130
REST,complexa,215.05,4126
REST,complexa,205.42,4101
REST,complexa,190.32,4077
REST,complexa,205.42,3958
REST,complexa,223.07,4058
REST,complexa,199.46,4066
REST,complexa,223.47,4020
REST,complexa,160.7,4084
REST,complexa,212.33,4140
REST,complexa,201.31,4289
REST,complexa,195.51,4117
REST,complexa,201.38,4126
REST,complexa,170.19,4093
REST,complexa,196.7,3908
REST,complexa,205.36,4097
REST,complexa,222.17,4106
REST,complexa,192.23,4346
REST,complexa,187.87,4081
REST,complexa,192.47,4130
REST,complexa,213.73,4097
REST,complexa,204.93,3983
REST,complexa,192.05,4214
REST,complexa,207.7,4175
GraphQL,simples,119.49,1815
GraphQL,simples,99.09,1821
GraphQL,simples,126.83,1759
GraphQL,simples,93.18,1814
GraphQL,simples,117.04,1818
GraphQL,simples,136.29,1757
GraphQL,simples,98.11,1912
GraphQL,simples,103.2,1828
GraphQL,simples,111.2,1729
GraphQL,simples,103.96,1839
GraphQL,simples,91.39,1742
GraphQL,simples,110.82,1847
GraphQL,simples,97.25,1870
GraphQL,simples,115.68,1751
GraphQL,simples,98.97,1858
GraphQL,simples,128.6,1825
GraphQL,simples,100.6,1849
GraphQL,simples,106.14,1914
GraphQL,simples,119.76,1785
GraphQL,simples,95.23,1755
GraphQL,simples,112.73,1747
GraphQL,simples,125.69,1751
GraphQL,simples,90.71,1795
GraphQL,simples,112.22,1820
GraphQL,simples,113.12,1817
GraphQL,simples,119.38,1850
GraphQL,simples,95.16,1801
GraphQL,simples,94.15,1887
GraphQL,simples,116.26,1784
GraphQL,simples,113.56,1963
GraphQL,complexa,191.26,3569
GraphQL,complexa,164.57,3636
GraphQL,complexa,160.72,3614
GraphQL,complexa,188.68,3578
GraphQL,complexa,175.98,3462
GraphQL,complexa,192.85,3591
GraphQL,complexa,188.52,3407
GraphQL,complexa,178.69,3472
GraphQL,complexa,164.76,3442
GraphQL,complexa,152.73,3510
GraphQL,complexa,171.96,3778
GraphQL,complexa,195.42,3276
GraphQL,complexa,183.85,3582
GraphQL,complexa,157.58,3306
GraphQL,complexa,183.12,3443
GraphQL,complexa,186.94,3631
GraphQL,complexa,164.09,3508
GraphQL,complexa,182.77,3371
GraphQL,complexa,181.05,3414
GraphQL,complexa,159.43,3582
GraphQL,complexa,186.44,3412
GraphQL,complexa,190.09,3526
GraphQL,complexa,199.49,3505
GraphQL,complexa,198.97,3422
GraphQL,complexa,155.2,3757
GraphQL,complexa,163.12,3576
GraphQL,complexa,189.27,3257
GraphQL,complexa,189.25,3522
GraphQL,complexa,189.27,3421
GraphQL,complexa,249.35,3602
