api,consulta_tipo,tempo_ms,tamanho_bytes
GraphQL,simples,119.49,1815
GraphQL,simples,99.09,1821
GraphQL,simples,126.83,1759
GraphQL,simples,93.18,1814
GraphQL,simples,117.04,1818
GraphQL,simples,136.29,1757
GraphQL,simples,98.11,1912
GraphQL,simples,103.2,1828
GraphQL,simples,111.2,1729
GraphQL,simples,103.96,1839
GraphQL,simples,91.39,1742
GraphQL,simples,110.82,1847
GraphQL,simples,97.25,1870
GraphQL,simples,115.68,1751
GraphQL,simples,98.97,1858
GraphQL,simples,128.6,1825
GraphQL,simples,100.6,1849
GraphQL,simples,106.14,1914
GraphQL,simples,119.76,1785
GraphQL,simples,95.23,1755
GraphQL,simples,112.73,1747
GraphQL,simples,125.69,1751
GraphQL,simples,90.71,1795
GraphQL,simples,112.22,1820
GraphQL,simples,113.12,1817
GraphQL,simples,119.38,1850
GraphQL,simples,95.16,1801
GraphQL,simples,94.15,1887
GraphQL,simples,116.26,1784
GraphQL,simples,113.56,1963
GraphQL,complexa,191.26,3569
GraphQL,complexa,164.57,3636
GraphQL,complexa,160.72,3614
GraphQL,complexa,188.68,3578
GraphQL,complexa,175.98,3462
GraphQL,complexa,192.85,3591
GraphQL,complexa,188.52,3407
GraphQL,complexa,178.69,3472
GraphQL,complexa,164.76,3442
GraphQL,complexa,152.73,3510
GraphQL,complexa,171.96,3778
GraphQL,complexa,195.42,3276
GraphQL,complexa,183.85,3582
GraphQL,complexa,157.58,3306
GraphQL,complexa,183.12,3443
GraphQL,complexa,186.94,3631
GraphQL,complexa,164.09,3508
GraphQL,complexa,182.77,3371
GraphQL,complexa,181.05,3414
GraphQL,complexa,159.43,3582
GraphQL,complexa,186.44,3412
GraphQL,complexa,190.09,3526
GraphQL,complexa,199.49,3505
GraphQL,complexa,198.97,3422
GraphQL,complexa,155.2,3757
GraphQL,complexa,163.12,3576
GraphQL,complexa,189.27,3257
GraphQL,complexa,189.25,3522
GraphQL,complexa,189.27,3421
GraphQL,complexa,249.35,3602
